"year" "site" "alcho_units" "ufo" "chupa"
1982 "Lubbock" 10.5 0 0.28
1983 "Lubbock" 5.5 0 -0.53
1984 "Lubbock" 8.4 0 -0.16
1985 "Lubbock" 7.9 0 0
1986 "Lubbock" 6.1 0 -0.46
1987 "Lubbock" 8.6 0 0.13
1988 "Lubbock" 8.2 1 0.06
1989 "Lubbock" 4.2 0 -0.95
1990 "Lubbock" 7 0 -0.51
1991 "Lubbock" 7.8 1 -0.11
1992 "Lubbock" 8.1 0 -0.31
1993 "Lubbock" 7.9 0 -0.12
1994 "Lubbock" 3.7 19 0.98
1995 "Lubbock" 7.8 1 -0.13
1981 "Garland" 5.7 0 -0.62
1982 "Garland" 8.1 0 -0.11
1983 "Garland" 6.7 0 -0.36
1984 "Garland" 8.8 0 -0.07
1985 "Garland" 6.7 0 -0.4
1986 "Garland" 4.3 0 -0.93
1987 "Garland" 3.1 0 -1.07
1988 "Garland" 8.4 0 -0.06
1989 "Garland" 7.5 1 -0.07
1990 "Garland" 9.8 0 0.26
1991 "Garland" 8.4 0 -0.19
1992 "Garland" 1.8 0 -1.42
1993 "Garland" 12 0 0.65
1994 "Garland" 6.7 1 -0.17
1995 "Garland" 4.3 0 -0.88
1981 "Irving" 4.4 2 -0.64
1982 "Irving" 8.1 0 -0.06
1983 "Irving" 5.6 0 -0.54
1984 "Irving" 10.5 0 0.33
1985 "Irving" 8.8 0 0.03
1986 "Irving" 11.9 0 0.73
1987 "Irving" 5.6 2 -0.43
1988 "Irving" 5.8 0 -0.69
1989 "Irving" 9.2 0 0.35
1990 "Irving" 6.4 1 -0.26
1991 "Irving" 3.6 0 -1.01
1992 "Irving" 2.3 0 -1.17
1993 "Irving" 11 0 0.6
1994 "Irving" 8.3 3 0.2
1995 "Irving" 7.7 0 -0.34
1981 "Amarillo" 5.8 0 -0.6
1982 "Amarillo" 12.7 0 0.86
1983 "Amarillo" 8.6 0 0.04
1984 "Amarillo" 9.4 0 0.24
1985 "Amarillo" 6.2 0 -0.34
1986 "Amarillo" 9.6 0 0.2
1987 "Amarillo" 6 0 -0.38
1988 "Amarillo" 4.6 0 -0.67
1989 "Amarillo" 6.4 1 -0.24
1990 "Amarillo" 11.7 0 0.6
1991 "Amarillo" 12.2 0 0.58
1992 "Amarillo" 7.8 0 -0.09
1993 "Amarillo" 10.5 0 0.33
1994 "Amarillo" 3.2 0 -1.08
1995 "Amarillo" 5.2 0 -0.76
1981 "Grand Prairie" 5.3 2 -0.52
1982 "Grand Prairie" 10.1 0 0.27
1983 "Grand Prairie" 9.7 0 0.32
1984 "Grand Prairie" 6.6 0 -0.37
1985 "Grand Prairie" 3.2 0 -1.13
1986 "Grand Prairie" 6 0 -0.46
1987 "Grand Prairie" 2.4 0 -1.15
1988 "Grand Prairie" 5.8 0 -0.45
1989 "Grand Prairie" 6.5 1 -0.23
1990 "Grand Prairie" 4.9 0 -0.79
1991 "Grand Prairie" 9.6 0 0.34
1992 "Grand Prairie" 8.1 0 -0.06
1993 "Grand Prairie" 8.5 0 0.14
1994 "Grand Prairie" 8.3 0 -0.08
1995 "Grand Prairie" 6 0 -0.54
