"year" "city" "alc" "ufo" "belief" "chupa"
1991 "Laredo" 8.4 1 "medium" 0.16
1992 "Laredo" 5.2 0 "medium" -0.49
1993 "Laredo" 9.2 6 "high" 1.11
1994 "Laredo" 4.9 0 "medium" -0.66
1995 "Laredo" 8.4 0 "high" 0.11
1981 "Lubbock" 5 0 "medium" -0.76
1982 "Lubbock" 10.5 0 "low" 0.23
1983 "Lubbock" 5.5 0 "high" -0.42
1984 "Lubbock" 8.4 0 "low" -0.06
1985 "Lubbock" 7.9 0 "low" -0.36
1986 "Lubbock" 6.1 0 "high" -0.38
1987 "Lubbock" 8.6 0 "low" -0.26
1988 "Lubbock" 8.2 0 "medium" -0.04
1989 "Lubbock" 4.2 1 "medium" -0.63
1990 "Lubbock" 7 0 "high" -0.11
1991 "Lubbock" 7.8 0 "medium" 0.07
1992 "Lubbock" 8.1 0 "medium" 0.15
1993 "Lubbock" 7.9 3 "high" 0.48
1994 "Lubbock" 3.7 5 "medium" -0.32
1995 "Lubbock" 7.8 0 "high" 0.02
1981 "Garland" 5.7 0 "medium" -0.45
1982 "Garland" 8.1 0 "low" -0.28
1983 "Garland" 6.7 0 "high" -0.14
1984 "Garland" 8.8 0 "low" 0.07
1985 "Garland" 6.7 0 "low" -0.62
1986 "Garland" 4.3 0 "high" -0.54
1987 "Garland" 3.1 0 "low" -1.34
1988 "Garland" 8.4 0 "medium" 0.09
1989 "Garland" 7.5 0 "medium" 0.11
1990 "Garland" 9.8 0 "high" 0.53
1991 "Garland" 8.4 1 "medium" 0.19
1992 "Garland" 1.8 0 "medium" -1.13
1993 "Garland" 12 1 "high" 1.06
1994 "Garland" 6.7 0 "medium" -0.18
1995 "Garland" 4.3 0 "high" -0.54
1981 "Irving" 4.4 0 "medium" -0.83
1982 "Irving" 8.1 0 "low" -0.07
1983 "Irving" 5.6 0 "high" -0.29
1984 "Irving" 10.5 0 "low" 0.36
1985 "Irving" 8.8 1 "low" -0.06
1986 "Irving" 11.9 0 "high" 1.15
1987 "Irving" 5.6 14 "low" 0.47
1988 "Irving" 5.8 0 "medium" -0.45
1989 "Irving" 9.2 1 "medium" 0.29
1990 "Irving" 6.4 0 "high" -0.06
1991 "Irving" 3.6 4 "medium" -0.37
1992 "Irving" 2.3 0 "medium" -1.22
1993 "Irving" 11 17 "high" 2.37
1994 "Irving" 8.3 0 "medium" 0.07
1995 "Irving" 7.7 0 "high" 0.24
1981 "Amarillo" 5.8 0 "medium" -0.46
1982 "Amarillo" 12.7 0 "low" 0.65
1983 "amarillo" 8.6 0 "high" 0.5
1984 "Amarillo" 9.4 0 "low" 0.03
1985 "Amarillo" 6.2 0 "low" -0.65
1986 "Amarillo" 9.6 0 "high" 0.66
1987 "Amarillo" 6 0 "low" -0.63
1988 "Amarillo" 4.6 0 "medium" -0.65
1989 "Amarillo" 6.4 0 "medium" -0.37
1990 "Amarillo" 11.7 0 "high" 0.78
1991 "Amarillo" 12.2 0 "medium" 0.6
1992 "Amarillo" 7.8 0 "medium" 0.02
1993 "Amarillo" 10.5 15 "high" 2.32
1994 "Amarillo" 3.2 0 "medium" -0.84
1995 "Amarillo" 5.2 0 "high" -0.14
1981 "Grand Prairie" 5.3 0 "medium" -0.71
1982 "Grand Prairie" 10.1 0 "low" -0.12
1983 "Grand Prairie" 9.7 0 "high" 0.61
1984 "Grand Prairie" 6.6 0 "low" -0.65
1985 "Grand Prairie" 3.2 0 "low" -1.33
1986 "Grand Prairie" 6 0 "high" -0.14
1987 "Grand Prairie" 2.4 0 "low" -1.4
1988 "Grand Prairie" 5.8 4 "medium" -0.05
1989 "Grand Prairie" 6.5 0 "medium" -0.23
1990 "Grand Prairie" 4.9 0 "high" -0.32
1991 "Grand Prairie" 9.6 0 "medium" 0.31
1992 "Grand Prairie" 8.1 0 "medium" -0.02
1993 "Grand Prairie" 8.5 6 "high" 0.84
1994 "Grand Prairie" 8.3 2 "medium" 0.21
1995 "Grand Prairie" 6 0 "high" -0.14
