"oxygen_consumption" "region" "water_temp"
110.2 "North" 24.83
88.3 "East" 21.81
112.4 "South" 24.33
112.9 "West" 29.71
107 "South" 29.16
117.3 "East" 22.86
103.3 "South" 27.94
89.7 "South" 26.02
116.8 "North" 28.61
84.4 "East" 21.31
122.8 "South" 28.56
79.3 "South" 25.61
136.9 "East" 28.03
149.6 "East" 29.58
86.6 "North" 24.35
113.1 "South" 25.68
95.9 "South" 23.02
171.5 "North" 28.48
79.8 "South" 20.41
40.5 "East" 23.91
145.5 "North" 24.59
105.4 "North" 26.07
90.8 "South" 28.55
96.7 "North" 20.58
101.3 "West" 20.9
83.7 "North" 25.59
121.5 "South" 28.4
90.5 "North" 24.36
77.5 "East" 21.63
94 "West" 27.1
95.7 "North" 24.89
90.9 "West" 21.25
66.9 "West" 29.56
86.8 "South" 24.06
100.4 "West" 28.12
82.7 "East" 23.66
61.7 "North" 29.57
98.9 "South" 27.02
152.2 "North" 27.08
79.1 "South" 22.25
113.2 "South" 25.76
108.8 "North" 20.06
99 "South" 22.54
88.3 "North" 27.29
74.9 "East" 28.57
95.6 "North" 23.25
122.8 "North" 26.07
109.4 "South" 27.67
136 "North" 20.39
105.8 "North" 27.05
83.7 "West" 23.06
49.9 "East" 28.23
106.9 "West" 25.35
86.5 "West" 28.15
93.6 "South" 25.25
111.1 "North" 24.29
81.6 "North" 26.59
89.6 "East" 20.9
167.7 "East" 26.37
113.2 "North" 22.08
81.6 "East" 21.13
99 "South" 27.16
106.6 "West" 26.34
117 "West" 25.12
115.5 "North" 25.36
105.6 "West" 22.68
111.2 "East" 29.05
89.7 "West" 20.56
111.8 "North" 25.47
66.9 "West" 21.75
150.7 "North" 27.8
96.4 "West" 24.53
115.6 "South" 28.38
135.9 "West" 27.47
141.4 "West" 25.31
90.4 "East" 25.95
103.9 "West" 26.33
56.3 "East" 29.14
101.1 "North" 20.79
104.9 "North" 25.88
108.6 "North" 21.59
107.7 "South" 27.29
63.3 "North" 27.89
79.1 "North" 23.48
86.2 "West" 25.84
104.3 "South" 22.18
68.6 "West" 20.12
138.2 "East" 25.25
127.5 "West" 23.53
98 "North" 28.64
94.2 "North" 21.76
129.7 "South" 29.94
74.1 "North" 27.97
78.4 "South" 22.45
106.1 "West" 20.27
77.5 "South" 27.89
82.1 "North" 23.93
122.8 "South" 29.51
120.5 "East" 26.98
110.8 "East" 23.38
82.1 "North" 25.16
141.8 "West" 26.32
144.7 "North" 26.31
111 "North" 27.6
72.3 "West" 20.04
87 "South" 29.05
135.8 "East" 28.59
93.3 "East" 21.1
105.3 "West" 29.14
89.2 "North" 21.01
137.9 "West" 27.15
118.6 "North" 25.54
102.6 "East" 26.5
44.3 "North" 27.62
136.1 "West" 27.91
102.8 "South" 22.64
111.7 "North" 26.58
107.2 "North" 23.75
85.1 "East" 27.2
109.9 "North" 28.57
53.8 "North" 22.7
112.4 "North" 29.44
99.1 "North" 28.2
70.3 "East" 26.73
132.2 "West" 27.23
89.9 "South" 24.57
130.1 "West" 24
118.6 "West" 27.63
91.9 "North" 29.78
141.6 "East" 25.71
128.6 "South" 23.82
120.8 "East" 29.06
119.7 "East" 27.11
141.8 "East" 26.52
79 "North" 24.61
86.8 "South" 20.91
81.6 "South" 20.79
87.7 "South" 20.54
150.4 "East" 28.56
91.4 "West" 21.92
88.1 "South" 27.68
111.6 "North" 29.98
100.1 "West" 25.05
70.4 "North" 23.37
91 "West" 29.45
53.9 "East" 24.84
92.6 "West" 22.97
88.8 "South" 25.15
127.2 "South" 28.51
76.9 "East" 28.51
133.1 "East" 24.97
103.8 "North" 22.61
115.7 "South" 23.47
81.9 "West" 21.43
85 "South" 21.04
118.4 "West" 25.79
124.8 "North" 25.61
120 "East" 26.51
63.4 "East" 20.94
82.1 "South" 22.48
149.5 "West" 27.47
102.8 "South" 29.96
55.9 "North" 24.14
140.6 "East" 24.35
79.5 "South" 20.31
88.4 "West" 21.53
102.3 "East" 25.78
135.5 "East" 27.54
157.7 "East" 28.45
81.4 "North" 20.25
103.1 "East" 26.91
94.3 "South" 23.58
116.6 "East" 27.56
109.2 "South" 25.33
92.8 "East" 26.16
100.5 "West" 22.66
120 "West" 25.3
68.9 "North" 29.1
114.9 "East" 20.5
86.1 "West" 23.16
138.5 "East" 25.05
109.8 "West" 28.71
87 "South" 21.42
114.7 "East" 20.65
103.9 "West" 26.64
109.2 "East" 29.15
87.7 "North" 25.5
85.5 "West" 20.19
77 "East" 22.51
102.4 "West" 25.03
106.8 "East" 24.38
134.3 "East" 26.71
85.4 "South" 28.4
95.4 "West" 22.57
119.7 "North" 26.05
108.8 "East" 20.56
204.5 "East" 24.47
