"beaver" "wolf" "reproduction" "survival" "park" "site" "year"
8.81260533472322 "Present" 7 0.89 "Fully protected" "D" 21
7.31902089601336 "Present" 5 0.9 "Fully protected" "D" 22
6.05877309150163 "Present" 3 0.77 "Fully protected" "D" 23
7.01679404089789 "Absent" 4 0.75 "Partially protected" "E" 1
5.06172959457782 "Absent" 2 0.72 "Partially protected" "E" 2
5.56197704130349 "Absent" 1 0.98 "Partially protected" "E" 3
5.60084367605176 "Absent" 1 0.76 "Partially protected" "E" 4
7.50479277770386 "Absent" 5 0.74 "Partially protected" "E" 5
6.41904001829673 "Absent" 3 0.63 "Partially protected" "E" 6
6.6920627276501 "Absent" 4 0.53 "Partially protected" "E" 7
4.59750259399336 "Absent" 1 0.82 "Partially protected" "E" 8
6.36764288917051 "Absent" 3 0.76 "Partially protected" "E" 9
6.23104973420546 "Absent" 3 0.73 "Partially protected" "E" 10
7.79646245801244 "Absent" 6 0.71 "Partially protected" "E" 11
4.98691888002922 "Present" 2 0.71 "Partially protected" "E" 12
7.06943227472643 "Present" 4 0.84 "Partially protected" "E" 13
7.48373532294269 "Present" 1 0.78 "Fully protected" "E" 14
9.07170611035078 "Present" 1 0.85 "Fully protected" "E" 15
8.9090075615866 "Present" 1 0.9 "Fully protected" "E" 16
8.58231972663252 "Present" 3 0.63 "Fully protected" "E" 17
8.72343065983978 "Present" 2 0.62 "Fully protected" "E" 18
8.77172811443538 "Present" 3 0.85 "Fully protected" "E" 19
9.25363337907323 "Present" 2 0.92 "Fully protected" "E" 20
9.54543984470222 "Present" 3 0.79 "Fully protected" "E" 21
8.65190323046623 "Present" 2 0.84 "Fully protected" "E" 22
10.1797771571151 "Present" 4 0.95 "Fully protected" "E" 23
